*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143297765 : Tx: [80][FF][FF][FF][B9][C5][D5][48]
1143298000 : Tx: [80][FF][FF][FF][0E][C9][D6][48]
1143298250 : Tx: [00][FF][FF][FF][0E][C9][D6][48]
1143298500 : Tx: [00][FF][FF][FF][0E][C9][D6][48]
1143298750 : Tx: [00][FF][FF][FF][0E][C9][D6][48]
1143299000 : Tx: [00][FF][FF][FF][63][CC][D7][48]
1143299234 : Tx: [80][FF][FF][FF][63][CC][D7][48]
1143299484 : Tx: [80][FF][FF][FF][63][CC][D7][48]
1143299734 : Tx: [80][FF][FF][FF][B8][CF][D8][48]
1143299984 : Tx: [80][FF][FF][FF][B8][CF][D8][48]
1143300218 : Tx: [00][FF][FF][FF][B8][CF][D8][48]
1143300468 : Tx: [00][FF][FF][FF][B8][CF][D8][48]
1143300718 : Tx: [00][FF][FF][FF][0D][D3][D9][48]
1143300968 : Tx: [00][FF][FF][FF][0D][D3][D9][48]
1143301203 : Tx: [80][FF][FF][FF][0D][D3][D9][48]
1143301453 : Tx: [80][FF][FF][FF][62][D6][DA][48]
1143301703 : Tx: [80][FF][FF][FF][62][D6][DA][48]
1143301953 : Tx: [80][FF][FF][FF][62][D6][DA][48]
1143302187 : Tx: [00][FF][FF][FF][B7][D9][DB][48]
1143302437 : Tx: [00][FF][FF][FF][B7][D9][DB][48]
1143302687 : Tx: [00][FF][FF][FF][B7][D9][DB][48]
1143302937 : Tx: [00][FF][FF][FF][B7][D9][DB][48]
1143303171 : Tx: [80][FF][FF][FF][0C][DD][DC][48]
1143303421 : Tx: [80][FF][FF][FF][0C][DD][DC][48]
1143303671 : Tx: [80][FF][FF][FF][0C][DD][DC][48]
1143303921 : Tx: [80][FF][FF][FF][61][E0][DD][48]
1143304156 : Tx: [00][FF][FF][FF][61][E0][DD][48]
1143304406 : Tx: [00][FF][FF][FF][61][E0][DD][48]
1143304656 : Tx: [00][FF][FF][FF][B6][E3][DE][48]
1143304906 : Tx: [00][FF][FF][FF][B6][E3][DE][48]
1143305140 : Tx: [80][FF][FF][FF][B6][E3][DE][48]
